"customer_id","gender","name_prefix","name_first","name_last","email","employment","address","city","county","state","postal_code","birth_dt","job_type","account_type","phone_number"
"cuxbokk0ws6ilf2s","F","Dr.","Meghan","Thompson","mthompson@haleplc.com","Hale PLC","3963 Alexis Fords Court","Geronimo","GUADALUPE","TX","05492","1994-01-24","Community education officer","Active","001-828-709-2251x10967"
"gss9vsz98zr2ot8i","F","Dr.","Meredith","Hale","mhale@davisflowersandmckenzie.org","Davis Flowers and Mckenzie","5858 Nicholas Plains Road","Fajardo","FAJARDO","PR","70602-1621","1974-10-12","Buyer retail","Active","555.153.6363"
"gecntasvzk62j1u6","M","Mr.","James","Patel","jpatel465@blackwelljacksonandsmith.com","Blackwell Jackson and Smith","8023 Lynn Neck Lane","Versailles","DARKE","OH","31009","1968-12-28","Chemical engineer","Remarket","439.105.4433"
"1wdx6quybk4en4qn","F","Dr.","Laura","Obrien","lauraobrien@browninc.org","Brown Inc","1478 Ann Park Rd","Cairo","HALL","NE","38286","1990-11-30","Engineer broadcasting (operations)","Closed","001-953-660-2878"
"ju1kpxt9ut6gr0ny","M","Mr.","Matthew","Taylor","mtaylor@brooksplc.com","Brooks PLC","6672 Susan Bypass Route","Chelsea","WASHTENAW","MI","72730","1951-04-19","Recruitment consultant","Active","001-025-898-5525"
"tbw1nq2ubz761ep3","M","Mr.","Ian","Wolf","ianwolf@deaninc.com","Dean Inc","4966 Jones Fords Way","Manteo","DARE","NC","40708","1982-06-04","Facilities manager","Active","179-334-9926"
"ar9t15lnd5ib5j2n","M","Mr.","Jacob","Ali","song_jacob@millerltd.org","Miller Ltd","9091 Timothy Prairie Frontage road","East Templeton","WORCESTER","MA","67878","1998-12-19","Risk analyst","Active","806.719.5002x1136"
"56k7ldqj9x6cwotp","F","Dr.","Kelly","Olson","kolson@yupetersonandbailey.com","Yu Peterson and Bailey","8009 Little Vista Route","Mendon","WORCESTER","MA","63234","1991-02-04","Higher education lecturer","Remarket","5003443218"
"tts3qsr4rxfuar9r","F","Miss","Lori","Pham","lpham214@pacejohnson.com","Pace-Johnson","1997 Lisa Run Road","College Station","PULASKI","AR","34198","1958-09-09","Development worker international aid","Active","+1-758-144-9711x0909"
"3tv5ga1u4yxvwmmn","M","Mr.","David","Williams","davidwilliams@longkaneandkim.com","Long Kane and Kim","4237 Newman Passage Highway","West Palm Beach","PALM BEACH","FL","07533-9243","1947-12-07","Private music teacher","Active","(319)473-6316"
